employee_department,employee_campus,employee_position,employee_seniority_years,is_contractor,employee_classification,has_foreign_citizenship,has_criminal_record,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,is_abroad,hostility_country_level,num_entries,num_unique_campus,entry_during_weekend,is_malicious
0,2,15,22,0,2,0,0,0,0,4,0,0,0,1,1,1,0
0,2,15,22,0,2,0,0,0,0,0,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,2,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,1,0,0,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,0,0,2,1,0,0
0,2,15,22,0,2,0,0,0,0,9,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,44,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,38,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,8,0,40,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,9,0,0,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,10,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,4,0,0,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,35,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,2,0,38,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,29,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,7,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,19,0,0,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,44,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,43,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,3,0,0,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,38,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,0,0,1,1,1,0
0,2,15,22,0,2,0,0,5,1,4,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,32,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,4,0,0,0,0,0,2,1,0,0
0,2,15,22,0,2,0,0,0,0,28,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,6,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,44,0,0,0,2,1,0,0
0,2,15,22,0,2,0,0,5,0,37,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,8,0,39,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,29,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,30,0,0,0,2,1,0,0
0,2,15,22,0,2,0,0,11,3,0,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,3,0,0,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,41,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,4,0,33,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,10,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,0,0,1,0,0,0,0,0
0,2,15,22,0,2,0,0,0,0,24,0,0,0,2,1,0,0
0,2,15,22,0,2,0,0,0,0,8,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,0,0,30,0,0,0,1,1,0,0
0,2,15,22,0,2,0,0,25,8,0,0,0,0,2,1,0,0
0,2,15,22,0,2,0,0,0,0,30,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,1,0,0,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,0,0,51,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,0,0,0,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,0,0,0,0,0,0,2,1,0,0
9,1,41,14,1,3,0,0,0,0,7,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,11,0,0,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,18,4,0,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,3,0,0,0,0,0,2,1,0,0
9,1,41,14,1,3,0,0,0,0,31,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,1,0,4,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,0,0,53,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,2,0,34,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,10,0,0,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,0,0,37,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,0,0,41,0,0,0,2,1,0,0
9,1,41,14,1,3,0,0,0,0,0,0,0,0,1,1,1,0
9,1,41,14,1,3,0,0,17,4,0,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,0,0,28,0,0,0,2,1,0,0
9,1,41,14,1,3,0,0,20,0,0,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,7,0,0,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,2,0,0,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,6,1,0,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,14,3,0,0,0,0,2,1,0,0
9,1,41,14,1,3,0,0,17,4,33,0,0,0,2,1,0,0
9,1,41,14,1,3,0,0,4,1,29,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,0,0,29,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,1,0,45,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,12,0,0,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,13,0,34,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,1,0,34,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,0,0,32,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,1,0,0,0,0,0,1,1,0,0
9,1,41,14,1,3,0,0,3,0,0,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,0,0,30,0,0,0,0,0,0,0
9,1,41,14,1,3,0,0,3,0,0,0,0,0,1,1,0,0
